Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011]
Sub-Saharan Africa (excluding high income),SSA,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,737679777,778248224,799583871,821614380,844320487,867684936,891706327
Sub-Saharan Africa (IDA & IBRD countries),TSS,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,738983255,779566820,800908534,822945457,845655214,869025106,893046172
Upper middle income,UMC,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2541199765,2582017908,2601881257,2621990354,2642571330,2663127523,2684416240
World,WLD,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
World,WLD,"Population, total",SP.POP.TOTL,6431551642,6592734537,6674203645,6756917893,6839574286,6921871603,7002860245
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,
Last Updated: 02/17/2021,,,,,,,,,,
